001PAO BRANCO                    PAO BRANCO                                        KG UND0031
002PAO CENTEIO                   PAO DE CENTEIO                                    KG UND0031
003PAO SEMENTES                  PAO DE SEMENTES                                   KG UND0031
004PAO SEM GLUTEN                PAO SEM GLUTEN                                    KG UND0031
005FIAMBRE PERNA                 FIAMBRE DE PORCO DA PERNA                         KG GR 0051
006FIAMBRE DA PA                 FIAMBRE DE PORCO DA PA                            KG GR 0061
007ATUM                          ATUM EM CONSERVA DE OLEO                          KG GR 0101
008ATUM NATURAL                  ATUM EM CONSERVA DE AGUA                          KG GR 0051
009FIAMBRE PERU                  FIAMBDE DE PEITO DE PERU                          KG GR 0021
010FIAMBRE FRANGO                FIAMBRE DE PEITO DE FRANGO                        KG GR 0031
011QUEIJO FLAMENGO               QUEIJO FLAMENGO EM FATIAS                         KG GR 0081
012QUEIJO CHEDDAR                QUEIJO CHEDDAR FATIADO                            KG GR 0021
013QUEIJO DA SERRA DA ESTRELA    QUEIJO AMANTEIGADO DA SERRA DA ESTRELA            KG GR 0021
014QUEIJO ROQUEFORT              QUEIJO ROQUEFORT                                  KG GR 0021
015QUEIJO BRIE                   QUEIJO BRIE                                       KG GR 0041
016MILHO                         MILHO DOCE                                        KG GR 0021
017MORTADELA                     MORTADELA FATIADA                                 KG GR 0031
018MORTADELA COM AZEITONAS       MORTADELA COM AZEITONAS FATIADA                   KG GR 0031
019CHOURICAO                     CHOURICAO FATIADO                                 KG GR 0031
020SALSICHA HOTDOG               SALSICHA TIPO FRANKFURT                           KG GR 0051
021SALSICHA DE AVES              SALSICHA DE AVES                                  KG GR 0031
022FRANGO ASSADO                 FRANGO ASSADO DESFIADO                            KG GR 0031
023ALHEIRA                       ALHEIRA DE MIRANDELA                              KG GR 0031
024ALHEIRA VEGAN                 ALHEIRA VEGETARIANA                               KG GR 0031
025LINGUICA                      LINGUICA FRESCA                                   KG GR 0021
026SALSICHA FRESCA               SALSICHA FRESCA                                   KG GR 0021
027ALCATARA                      BIFE DE VACA DA ALCATARA                          KG GR 0031
028ALFACE                        ALFACE FRISADO                                    KG GR 0051
029ALFACE ICEBERG                ALFACE ICEBERG                                    KG GR 0041
030RUCULA                        RUCULA                                            KG GR 0051
031COUVE ROXA                    COUVE ROXA                                        KG GR 0041
032CENOURA                       CENOURA RIPADA                                    KG GR 0061
033COURGETTE                     COURGETTE                                         KG GR 0061
034BERINGELA                     BERINGELA                                         KG GR 0061
035PEPINO                        PEPINO FATIADO                                    KG GR 0061
036BETERRABA                     BETERRABA FATIADA                                 KG GR 0041
037COGUMELOS PARIS               COGUMELOS PARIS                                   KG GR 0101
038COGUMELOS MARRON              COGUMELOS MARRON                                  KG GR 0101
039COGUMELOS SHITAKE             COGUMELOS SHITAKE                                 KG GR 0031
040PRESUNTO                      PRESUNTO IBERICO FATIADO                          KG GR 0101
041BACON                         BACON FATIADO                                     KG GR 0101
042OVO COZIDO                    OVO COZIDO                                        KG UND0021
043PRESUNTO PATA NEGRA           PRESUNTO PATA NEGRA                               KG GR 0011
044MAIONESE                      MAIONESE                                          KG GR 0051
045AZEITE                        AZEITE VIRGEM EXTRA                               LT ML 0151
046MOSTARDA DIJON                MOSTARDA DIJON                                    KG GR 0011
047MEL                           MEL DE FLORES                                     KG ML 0021
048MANTEIGA                      MANTEIGA                                          KG GR 0051
049ESPINAFRES                    ESPINAFRES                                        KG GR 0051
050PULLED PORK                   PORCO DESFIADO                                    KG GR 0051
051SALMAO FUMADO                 SALMAO FUMADO                                     KG GR 0011
052MOLHO MOSTARDA E MEL          MOLHO MOSTARDA E MEL                              KG ML 0011
053MOLHO BARBECUE                MOLHO BARBECUE                                    KG ML 0011
054QUEIJO FRESCO                 QUEIJO FRESCO                                     KG GR 0011
055TOMATE                        TOMATE CORACAO DE BOI                             KG GR 0051
056OREGAOS                       OREGAOS                                           KG GR 0021
