001ISEP    INSTITUTO SUPERIOR DE ENGENHARIA DO PORTO                                                                                                             RUA DO ISEP, 100                                                                                    4100100PORTO                         1
002ISCAP   INSTITUTO SUPERIOR DE CONTABILIDADE E ADMINISTRACAO DO PORTO                                                                                          RUS DO ISCAP, 101                                                                                   4100100PORTO                         1
003ESE     ESCOLA SUPERIOR DE EDUCACAO                                                                                                                           RUA DA ESE, 102                                                                                     4100100PORTO                         1
004ESMAE   ESCOLA SUPERIOR DE MUSICA E ARTES DO ESPETACULO                                                                                                       RUA DO ESMAE                                                                                        4100100PORTO                         1
005ESTG    ESCOLA SUPERIOR DE TRECNOLOGIAS E GESTAO                                                                                                              RUA DA ESTG, 200                                                                                    4150100PORTO                         1
006ESS     ESCOLA SUPERIOR DE SAUDE                                                                                                                              RUA DA ESS                                                                                          4200100PORTO                         1
007ESHT    ESCOLA SUPERIOR DE HOTELARIA E TURISMO                                                                                                                RUA DA ESHT, 300                                                                                    4300100PORTO                         1
008ESCM    ESCOLA SECUNDARIA CAROLINA MICHAELIS                                                                                                                  RUA DOS FURTOS, 300                                                                                 4250100PORTO                         1
009ESMAD   ESCOLA SUPERIOR DE MEDIA ARTES E DESIGN                                                                                                               RUA DA ESMAD                                                                                        3900100PORTO                         1
010PORTIC  PORTO RESERACH TECHNOLOGY AND INOVATION CENTER                                                                                                        RUA DO ESS, 250                                                                                     4250100PORTO                         1
011ESEIG   ESCOLA SUPERIOR DE ESTUDOS INDUSTRIAIS E DE GESTAO                                                                                                    RUA DO ESEIG, 1                                                                                     4150100PORTO                         1
012ESSR    ESCOLA SECUNDARIA SOARES DOS REIS                                                                                                                     RUA DO PEACE AND LOVE, 2                                                                            4150100PORTO                         1
